id,character,koreanReading,meaning,allowedForName,isCommonSurname,genderPreference,source,sourceVersion,sourceNote
200055,千,천,일천 천,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200056,方,방,모 방,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200057,孔,공,구멍 공,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200058,玄,현,검을 현,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200059,咸,함,다 함,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200060,卞,변,성씨 변,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200061,廉,염,청렴할 렴,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200062,呂,여,법칙 려,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200063,秋,추,가을 추,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200064,都,도,도읍 도,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200065,蘇,소,되살아날 소,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200066,石,석,돌 석,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200067,宣,선,베풀 선,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200068,薛,설,성씨 설,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200069,馬,마,말 마,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200070,吉,길,길할 길,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200071,延,연,늘일 연,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200072,魏,위,나라 이름 위,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200073,表,표,겉 표,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200074,明,명,밝을 명,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200075,奇,기,기이할 기,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200076,潘,반,성씨 반,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200077,王,왕,임금 왕,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200078,琴,금,거문고 금,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200079,玉,옥,구슬 옥,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200080,陸,육,뭍 륙,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200081,印,인,도장 인,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200082,孟,맹,맏 맹,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200083,諸,제,모두 제,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200084,牟,모,보리 모,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200085,卓,탁,높을 탁,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200086,鞠,국,성씨 국,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200087,魚,어,물고기 어,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200088,殷,은,성할 은,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200089,片,편,조각 편,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
200090,龍,용,용 룡,true,true,NEUTRAL,성씨 표기 보완,2026-08-20,국내 주요 성씨 한자
